,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,10,0,0,25,0,0,0,0,7,53,41,0,0,80,0,111,9,43,70,0,51
1,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,0,0,367,0,0,0,0,0,0,3,0,0,19,0,4,2,97,2,0,5
4,0,0,0,1,499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0
8,7,0,0,11,0,0,0,0,407,8,10,0,0,15,0,14,2,8,8,0,10
9,49,0,0,96,0,0,0,0,8,15,33,0,0,61,0,89,5,52,53,0,39
10,21,0,0,11,0,0,0,0,2,24,232,0,0,44,0,64,17,18,42,0,25
11,0,0,0,2,5,0,0,0,0,1,2,475,0,4,0,2,2,6,0,0,1
12,0,0,0,0,0,0,0,0,1,0,2,0,487,1,0,4,0,0,0,0,5
13,43,0,0,59,0,0,0,0,8,45,34,0,1,74,0,83,6,42,57,0,48
14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,499,0,0,0,0,0,0
15,37,0,0,25,0,0,0,0,7,41,39,0,2,67,0,114,11,33,70,0,54
16,8,0,0,10,0,0,0,0,0,4,20,0,0,10,0,15,411,8,8,0,6
17,37,0,0,56,0,0,0,0,2,38,35,0,0,68,0,65,9,114,39,0,37
18,53,0,0,24,0,0,0,0,9,37,35,0,1,79,0,98,7,30,81,0,46
19,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,489,8
20,34,0,0,27,0,0,0,0,5,39,30,0,0,72,0,76,6,28,60,1,122
