,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,205,0,0,8,0,0,0,0,2,77,7,0,0,10,0,32,0,20,84,0,55
1,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,8,0,0,473,0,0,0,0,2,7,1,0,0,1,0,0,0,2,4,0,2
4,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0
8,23,1,0,3,0,0,0,0,417,12,2,0,0,25,0,5,0,1,7,0,4
9,122,0,0,99,0,0,0,0,3,144,6,0,0,40,0,19,0,9,35,0,23
10,107,0,0,9,0,0,0,0,0,26,263,0,0,1,0,26,0,5,49,0,14
11,0,0,0,0,2,0,0,0,0,5,1,484,0,4,0,0,0,0,1,0,3
12,0,0,0,1,0,2,0,0,0,0,3,0,490,0,0,3,0,1,0,0,0
13,175,0,0,29,0,0,0,0,2,65,5,0,0,85,0,21,0,15,59,0,44
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,0
15,225,0,0,11,0,0,0,0,3,77,10,0,0,15,0,30,0,14,68,0,47
16,18,0,0,1,0,0,0,0,0,6,1,0,0,2,0,3,459,0,5,0,5
17,176,0,0,14,0,0,0,0,0,42,7,0,0,24,0,22,0,124,55,0,36
18,239,0,0,15,0,0,0,0,1,67,6,0,0,13,0,27,0,11,82,0,39
19,2,0,0,1,0,0,0,0,3,0,0,0,0,1,0,0,1,0,0,487,5
20,216,0,0,10,0,0,0,0,3,52,6,0,0,10,0,39,0,8,58,0,98
