ordering,N,recall,episodes
chrono,1,0.3584970194468875,20466
chrono,2,0.4691683768200919,20466
chrono,3,0.5042020912733314,20466
chrono,4,0.5584383856151666,20466
chrono,5,0.5664028144239226,20466
lookup,1,0.618679706601467,20450
lookup,2,0.6207334963325183,20450
lookup,3,0.6210268948655256,20450
lookup,4,0.6210268948655256,20450
lookup,5,0.6210268948655256,20450
proposed,1,0.38283005961106226,20466
proposed,2,0.448744258770644,20466
proposed,3,0.5470536499560247,20466
proposed,4,0.5999706830841396,20466
proposed,5,0.6274308609400958,20466
