seed,fold,model,pr_auc,f1
5,0,Trivial,0.04761904761904763,0.004329004329004329
5,0,Logistic reg.,0.6712850581756682,0.6485994849290388
5,0,Random forest,0.6414273240854196,0.6370457428522253
5,0,Gradient boost.,0.6609970581005835,0.6428046998218381
5,0,v1a MLP,0.6427254669536842,0.6332281336171295
5,0,v1b 1D-CNN,0.7223329853769799,0.695813493195879
5,0,No agent (abl.),0.7832803323158861,0.7475567924910252
5,0,Copilot v1,0.7734143880067957,0.7382520699431725
5,1,Trivial,0.04761904761904763,0.004329004329004329
5,1,Logistic reg.,0.6645145827718186,0.6477339744416448
5,1,Random forest,0.6362103713595373,0.6317891173482494
5,1,Gradient boost.,0.6543482235774742,0.6359695572467449
5,1,v1a MLP,0.6643759464734347,0.6524660128140293
5,1,v1b 1D-CNN,0.7083988354969679,0.6846217416493217
5,1,No agent (abl.),0.7830794282237162,0.757310376091198
5,1,Copilot v1,0.77722296565589,0.7483068342927167
5,2,Trivial,0.04761904761904763,0.004329004329004329
5,2,Logistic reg.,0.6684295403490884,0.6494530989557618
5,2,Random forest,0.6372637650139574,0.6353842072768001
5,2,Gradient boost.,0.6562281476886079,0.6364175759727738
5,2,v1a MLP,0.6676806052461238,0.6523692843301561
5,2,v1b 1D-CNN,0.7251900685906387,0.6976260435658245
5,2,No agent (abl.),0.7864998314270463,0.7533465070042886
5,2,Copilot v1,0.7823024994040166,0.746902812683121
5,3,Trivial,0.04761904761904763,0.004329004329004329
5,3,Logistic reg.,0.6782732497944302,0.6509252642456295
5,3,Random forest,0.6466762716038522,0.6442563725308017
5,3,Gradient boost.,0.663438632227181,0.6443384689953205
5,3,v1a MLP,0.6787050853118506,0.6629691188021909
5,3,v1b 1D-CNN,0.7213711838141302,0.7066699128237707
5,3,No agent (abl.),0.7827961074753558,0.7576285573980837
5,3,Copilot v1,0.7789542109313177,0.7453674502583222
5,4,Trivial,0.04761904761904763,0.004329004329004329
5,4,Logistic reg.,0.6786673862690362,0.6621737139505783
5,4,Random forest,0.6503347659309034,0.6440409591945037
5,4,Gradient boost.,0.6642087531377628,0.6429135482862667
5,4,v1a MLP,0.6744238325071462,0.6562744147063457
5,4,v1b 1D-CNN,0.7183474639063591,0.6935582072311868
5,4,No agent (abl.),0.7764216273303194,0.7383192044323277
5,4,Copilot v1,0.768648734914613,0.730819145635204
17,0,Trivial,0.04761904761904763,0.004329004329004329
17,0,Logistic reg.,0.6637660182866695,0.6511359286262495
17,0,Random forest,0.6356236158558428,0.6318419177932597
17,0,Gradient boost.,0.6524107086687455,0.6341048257253895
17,0,v1a MLP,0.6611036217839656,0.6464323146415216
17,0,v1b 1D-CNN,0.7131837962370297,0.6919947706648987
17,0,No agent (abl.),0.7755255698635088,0.7515537078006872
17,0,Copilot v1,0.7620413611475686,0.7294679357087469
17,1,Trivial,0.04761904761904763,0.004329004329004329
17,1,Logistic reg.,0.6837905881559291,0.6530183523499599
17,1,Random forest,0.6492853096800747,0.6482883291322088
17,1,Gradient boost.,0.6690763988134497,0.647653248323835
17,1,v1a MLP,0.6804808390743217,0.665570091787189
17,1,v1b 1D-CNN,0.7171473801572986,0.6965948482701264
17,1,No agent (abl.),0.7669082789975408,0.750558774602241
17,1,Copilot v1,0.7616843127771747,0.742374312098657
17,2,Trivial,0.04761904761904763,0.004329004329004329
17,2,Logistic reg.,0.6728516680210869,0.6470185029795508
17,2,Random forest,0.642569535879061,0.6398133620562964
17,2,Gradient boost.,0.6633988319310051,0.6409913616737073
17,2,v1a MLP,0.6334475123500681,0.6126770347721908
17,2,v1b 1D-CNN,0.7193987442375936,0.6877605192421057
17,2,No agent (abl.),0.7848236058342083,0.7451630426431168
17,2,Copilot v1,0.7805170927413673,0.7392989520114498
17,3,Trivial,0.04761904761904763,0.004329004329004329
17,3,Logistic reg.,0.6704592446024772,0.6502909681583388
17,3,Random forest,0.6396156988585289,0.6329513826401519
17,3,Gradient boost.,0.6539540928650702,0.6351820073475943
17,3,v1a MLP,0.668118721113475,0.6514742381946715
17,3,v1b 1D-CNN,0.7243466149035449,0.6921814089619858
17,3,No agent (abl.),0.7894721398146304,0.7406480460344239
17,3,Copilot v1,0.7805472765474738,0.729696531996297
17,4,Trivial,0.04761904761904763,0.004329004329004329
17,4,Logistic reg.,0.6705356438397552,0.6497365717431051
17,4,Random forest,0.6454888644063047,0.6417980792504133
17,4,Gradient boost.,0.6572058394400203,0.6336669010880933
17,4,v1a MLP,0.6742593476566472,0.661824643616175
17,4,v1b 1D-CNN,0.721070158740288,0.6878140691054175
17,4,No agent (abl.),0.7918516305652811,0.7432280578071746
17,4,Copilot v1,0.7865634531820648,0.731712456089548
42,0,Trivial,0.04761904761904763,0.004329004329004329
42,0,Logistic reg.,0.6674638184015993,0.6428629310028198
42,0,Random forest,0.6393065085479137,0.6353001235152133
42,0,Gradient boost.,0.6538516513658773,0.6353802478313385
42,0,v1a MLP,0.6779142915086,0.6598498136926493
42,0,v1b 1D-CNN,0.7192379254546203,0.7021401299554998
42,0,No agent (abl.),0.7842967979269323,0.7668198261879555
42,0,Copilot v1,0.773846970456151,0.748732522462395
42,1,Trivial,0.04761904761904763,0.004329004329004329
42,1,Logistic reg.,0.669570754875113,0.6515931777087915
42,1,Random forest,0.6461588351908885,0.6384551098324983
42,1,Gradient boost.,0.6577922316199641,0.645257669262253
42,1,v1a MLP,0.6686919262314577,0.6532679726857016
42,1,v1b 1D-CNN,0.7189257501669255,0.701536812649689
42,1,No agent (abl.),0.7863901553982096,0.7500756497617784
42,1,Copilot v1,0.7764575685163251,0.7359326955141364
42,2,Trivial,0.04761904761904763,0.004329004329004329
42,2,Logistic reg.,0.675274054945602,0.648756044255531
42,2,Random forest,0.6443831125015703,0.6406435426903977
42,2,Gradient boost.,0.6662847632071481,0.6440053682094229
42,2,v1a MLP,0.6716152152695684,0.6576632785729897
42,2,v1b 1D-CNN,0.7162386256713456,0.6969144842440022
42,2,No agent (abl.),0.7826312882780074,0.7634838882425052
42,2,Copilot v1,0.7681655059227148,0.7511570350416834
42,3,Trivial,0.04761904761904763,0.004329004329004329
42,3,Logistic reg.,0.6770699705071279,0.6580965178253348
42,3,Random forest,0.6437525986991877,0.6373009735575668
42,3,Gradient boost.,0.6625108010294455,0.6429785201050299
42,3,v1a MLP,0.676924350652847,0.6590562516006712
42,3,v1b 1D-CNN,0.722003939267499,0.7064116477364182
42,3,No agent (abl.),0.7803530476032569,0.7475822373859519
42,3,Copilot v1,0.7698485713106664,0.73793442196392
42,4,Trivial,0.04761904761904763,0.004329004329004329
42,4,Logistic reg.,0.6757540327091456,0.658007805607636
42,4,Random forest,0.6399340126771177,0.6326233691859743
42,4,Gradient boost.,0.6593879177932218,0.6327038712540713
42,4,v1a MLP,0.6747863427787872,0.6601318673076839
42,4,v1b 1D-CNN,0.7188788288640358,0.701978889997146
42,4,No agent (abl.),0.7917791608787274,0.7678875733799347
42,4,Copilot v1,0.7855303149673324,0.754226172903257
