estrato,item,n,media_josue,media_christian,acuerdo_crudo
generate_correcto,H1,14,0.5714,0.8571,0.5714
generate_correcto,H2,14,1.0,0.7857,0.7857
generate_correcto,H3,14,1.0,0.2857,0.2857
generate_correcto,H4,14,0.9286,0.6429,0.7143
generate_correcto,H5,14,0.0,0.3571,0.6429
generate_equivocado,H1,4,0.5,0.5,0.5
generate_equivocado,H2,4,1.0,1.0,1.0
generate_equivocado,H3,4,1.0,0.5,0.5
generate_equivocado,H4,4,1.0,0.5,0.5
generate_equivocado,H5,4,0.0,0.5,0.5
defer,H1,9,1.0,0.2222,0.2222
defer,H2,9,1.0,0.3333,0.3333
defer,H3,9,1.0,0.8889,0.8889
defer,H4,9,0.0,0.2222,0.7778
defer,H5,9,0.2222,0.6667,0.5556
alert,H1,3,1.0,1.0,1.0
alert,H2,3,1.0,0.6667,0.6667
alert,H3,3,1.0,0.3333,0.3333
alert,H4,3,0.0,1.0,0.0
alert,H5,3,0.0,0.3333,0.6667
