clase,nombre,F1,Recall1,Recall3,taken_for,taken_for_class,taken_times,called_normal,moves_window,defers
0,Operacion normal,0.20726306465899025,0.234,0.6346666666666667,IDV(9),9,238,351,0.9973333333333333,0.9933333333333333
1,IDV(1),0.9259259259259259,1.0,1.0,-,-1,0,0,0.0,0.0
2,IDV(2),0.9976720984369805,1.0,1.0,-,-1,0,0,0.004,0.0
3,IDV(3),0.6480139895078691,0.8646666666666667,0.8993333333333333,IDV(9),9,63,32,0.9833333333333333,0.9666666666666667
4,IDV(4),0.9865175928970733,1.0,1.0,-,-1,0,0,0.01,0.006666666666666667
5,IDV(5),0.9848982271831911,1.0,1.0,-,-1,0,0,0.0,0.0
6,IDV(6),1.0,1.0,1.0,-,-1,0,0,0.0,0.0
7,IDV(7),0.9973404255319148,1.0,1.0,-,-1,0,0,0.0,0.0
8,IDV(8),0.8507200561995083,0.8073333333333333,0.914,IDV(1),1,240,2,0.8313333333333334,0.628
9,IDV(9),0.3715651135005974,0.4146666666666667,0.778,IDV(3),3,331,116,0.996,0.9846666666666667
10,IDV(10),0.8048392231773319,0.8426666666666667,0.8646666666666667,Operacion normal,0,57,57,0.8693333333333333,0.736
11,IDV(11),0.983750846310088,0.9686666666666667,0.9966666666666667,IDV(4),4,40,0,0.9606666666666667,0.7653333333333333
12,IDV(12),0.9789545145960625,0.9613333333333334,0.9946666666666667,IDV(5),5,46,0,0.8613333333333333,0.7726666666666666
13,IDV(13),0.43245125348189417,0.414,0.5933333333333334,Operacion normal,0,189,189,0.9926666666666667,0.938
14,IDV(14),0.999333777481679,1.0,1.0,-,-1,0,0,0.9966666666666667,0.982
15,IDV(15),0.1487676056338028,0.11266666666666666,0.478,Operacion normal,0,355,355,0.9986666666666667,0.998
16,IDV(16),0.9919839679358716,0.99,0.9926666666666667,IDV(10),10,3,3,0.8166666666666667,0.5833333333333334
17,IDV(17),0.5226422933111757,0.41933333333333334,0.5306666666666666,Operacion normal,0,227,227,0.8,0.6146666666666667
18,IDV(18),0.3151515151515152,0.2773333333333333,0.5113333333333333,Operacion normal,0,300,300,0.948,0.8493333333333334
19,IDV(19),0.9846972721224218,0.9866666666666667,0.9973333333333333,IDV(20),20,16,0,0.9053333333333333,0.8153333333333334
20,IDV(20),0.4318421979570271,0.4086666666666667,0.5573333333333333,Operacion normal,0,255,255,0.912,0.7513333333333333
